EmployeeID,FirstName,LastName,SamAccountName,UPN,Department,Title,Manager,Status,Device
CTS027,Reese,Foster,rfoster27,rfoster27@cts-lab.local,Human Resources,HR Coordinator,human.manager,Enabled,LAP-HUM-027
CTS028,Emerson,Hayes,ehayes28,ehayes28@cts-lab.local,Human Resources,HR Coordinator,human.manager,Enabled,LAP-HUM-028
CTS029,Rowan,Ellis,rellis29,rellis29@cts-lab.local,Operations,Operations Specialist,operations.manager,Enabled,LAP-OPE-029
CTS030,Finley,Reed,freed30,freed30@cts-lab.local,Operations,Operations Specialist,operations.manager,Enabled,LAP-OPE-030
CTS031,Avery,Morgan,amorgan31,amorgan31@cts-lab.local,Operations,Operations Specialist,operations.manager,Enabled,LAP-OPE-031
CTS032,Jordan,Bennett,jbennett32,jbennett32@cts-lab.local,Operations,Operations Specialist,operations.manager,Enabled,LAP-OPE-032
CTS033,Morgan,Foster,mfoster33,mfoster33@cts-lab.local,Operations,Operations Specialist,operations.manager,Enabled,LAP-OPE-033
CTS034,Taylor,Hayes,thayes34,thayes34@cts-lab.local,Operations,Operations Specialist,operations.manager,Enabled,LAP-OPE-034
CTS035,Casey,Bailey,cbailey35,cbailey35@cts-lab.local,Operations,Operations Specialist,operations.manager,Enabled,LAP-OPE-035
CTS036,Riley,Simmons,rsimmons36,rsimmons36@cts-lab.local,Operations,Operations Specialist,operations.manager,Enabled,LAP-OPE-036
CTS037,Cameron,Coleman,ccoleman37,ccoleman37@cts-lab.local,Operations,Operations Specialist,operations.manager,Enabled,LAP-OPE-037
CTS038,Parker,Turner,pturner38,pturner38@cts-lab.local,Operations,Operations Specialist,operations.manager,Enabled,LAP-OPE-038
CTS039,Quinn,Ward,qward39,qward39@cts-lab.local,Operations,Operations Specialist,operations.manager,Enabled,LAP-OPE-039
CTS040,Drew,James,djames40,djames40@cts-lab.local,Operations,Operations Specialist,operations.manager,Enabled,LAP-OPE-040
CTS041,Skyler,Reed,sreed41,sreed41@cts-lab.local,Sales,Account Executive,sales.manager,Enabled,LAP-SAL-041
CTS042,Reese,Price,rprice42,rprice42@cts-lab.local,Sales,Account Executive,sales.manager,Enabled,LAP-SAL-042
CTS043,Emerson,Morgan,emorgan43,emorgan43@cts-lab.local,Sales,Account Executive,sales.manager,Enabled,LAP-SAL-043
CTS044,Rowan,Bennett,rbennett44,rbennett44@cts-lab.local,Sales,Account Executive,sales.manager,Enabled,LAP-SAL-044
CTS045,Finley,Foster,ffoster45,ffoster45@cts-lab.local,Sales,Account Executive,sales.manager,Enabled,LAP-SAL-045
CTS046,Avery,Bailey,abailey46,abailey46@cts-lab.local,Sales,Account Executive,sales.manager,Enabled,LAP-SAL-046
CTS047,Jordan,Simmons,jsimmons47,jsimmons47@cts-lab.local,Sales,Account Executive,sales.manager,Enabled,LAP-SAL-047
CTS048,Morgan,Coleman,mcoleman48,mcoleman48@cts-lab.local,Sales,Account Executive,sales.manager,Enabled,LAP-SAL-048
CTS049,Taylor,Turner,tturner49,tturner49@cts-lab.local,Sales,Account Executive,sales.manager,Disabled,LAP-SAL-049
CTS050,Casey,Ward,cward50,cward50@cts-lab.local,Sales,Account Executive,sales.manager,Enabled,LAP-SAL-050
CTS051,Riley,James,rjames51,rjames51@cts-lab.local,Sales,Account Executive,sales.manager,Enabled,LAP-SAL-051
CTS052,Cameron,Perry,cperry52,cperry52@cts-lab.local,Sales,Account Executive,sales.manager,Enabled,LAP-SAL-052
CTS053,Parker,Brooks,pbrooks53,pbrooks53@cts-lab.local,Sales,Account Executive,sales.manager,Enabled,LAP-SAL-053
CTS054,Quinn,Ellis,qellis54,qellis54@cts-lab.local,Sales,Account Executive,sales.manager,Enabled,LAP-SAL-054
CTS055,Drew,Reed,dreed55,dreed55@cts-lab.local,Sales,Account Executive,sales.manager,Enabled,LAP-SAL-055
CTS056,Skyler,Price,sprice56,sprice56@cts-lab.local,Marketing,Marketing Specialist,marketing.manager,Enabled,LAP-MAR-056
CTS057,Reese,Morgan,rmorgan57,rmorgan57@cts-lab.local,Marketing,Marketing Specialist,marketing.manager,Enabled,LAP-MAR-057
CTS058,Emerson,Bennett,ebennett58,ebennett58@cts-lab.local,Marketing,Marketing Specialist,marketing.manager,Enabled,LAP-MAR-058
CTS059,Rowan,Foster,rfoster59,rfoster59@cts-lab.local,Marketing,Marketing Specialist,marketing.manager,Enabled,LAP-MAR-059
CTS060,Finley,Hayes,fhayes60,fhayes60@cts-lab.local,Marketing,Marketing Specialist,marketing.manager,Enabled,LAP-MAR-060
CTS061,Avery,Simmons,asimmons61,asimmons61@cts-lab.local,Marketing,Marketing Specialist,marketing.manager,Enabled,LAP-MAR-061
CTS062,Jordan,Coleman,jcoleman62,jcoleman62@cts-lab.local,Marketing,Marketing Specialist,marketing.manager,Enabled,LAP-MAR-062
CTS063,Morgan,Turner,mturner63,mturner63@cts-lab.local,Marketing,Marketing Specialist,marketing.manager,Enabled,LAP-MAR-063
CTS064,Taylor,Ward,tward64,tward64@cts-lab.local,Marketing,Marketing Specialist,marketing.manager,Enabled,LAP-MAR-064
CTS065,Casey,James,cjames65,cjames65@cts-lab.local,Marketing,Marketing Specialist,marketing.manager,Enabled,LAP-MAR-065
CTS066,Riley,Morgan,rmorgan66,rmorgan66@cts-lab.local,Customer Success,Customer Success Specialist,customer.manager,Enabled,LAP-CUS-066
CTS067,Cameron,Bennett,cbennett67,cbennett67@cts-lab.local,Customer Success,Customer Success Specialist,customer.manager,Enabled,LAP-CUS-067
CTS068,Parker,Foster,pfoster68,pfoster68@cts-lab.local,Customer Success,Customer Success Specialist,customer.manager,Disabled,LAP-CUS-068
CTS069,Quinn,Hayes,qhayes69,qhayes69@cts-lab.local,Customer Success,Customer Success Specialist,customer.manager,Enabled,LAP-CUS-069
CTS070,Drew,Bailey,dbailey70,dbailey70@cts-lab.local,Customer Success,Customer Success Specialist,customer.manager,Enabled,LAP-CUS-070
CTS071,Skyler,Simmons,ssimmons71,ssimmons71@cts-lab.local,Customer Success,Customer Success Specialist,customer.manager,Enabled,LAP-CUS-071
CTS072,Reese,Coleman,rcoleman72,rcoleman72@cts-lab.local,Customer Success,Customer Success Specialist,customer.manager,Enabled,LAP-CUS-072
CTS073,Emerson,Turner,eturner73,eturner73@cts-lab.local,Customer Success,Customer Success Specialist,customer.manager,Enabled,LAP-CUS-073
CTS074,Rowan,Ward,rward74,rward74@cts-lab.local,Customer Success,Customer Success Specialist,customer.manager,Enabled,LAP-CUS-074
CTS075,Finley,James,fjames75,fjames75@cts-lab.local,Customer Success,Customer Success Specialist,customer.manager,Enabled,LAP-CUS-075
